lat,long
43.7045234,-79.3839756
43.6365132,-79.4038017
43.6477992,-79.4051096
43.6444018,-79.4077341
43.6578764,-79.4920014
43.7265186,-79.4134992
43.6612929,-79.4922157
43.6446217,-79.429527
43.6443973,-79.4077961
43.6659477,-79.5834115
43.6432215,-79.4108519
45.2521128,-75.7363112
43.6417657,-79.4105181
43.6500562,-79.4221374
43.6578199,-79.4389238
43.6430159,-79.4078155
43.6902598,-79.31813
43.6602852,-79.4445375
43.6443245,-79.4112864
43.6727131,-79.4484822
43.6437802,-79.4062472
43.7681132,-79.5016165
43.6624452,-79.4274106
43.6588549,-79.4305875
43.73339,-79.4324203
43.6599032,-79.3386498
43.6912355,-79.3803103
43.7333226,-79.4358631
43.6411219,-79.4269842
43.7680605,-79.4111112
43.6415487,-79.4047221
43.6476705,-79.4261438
45.3812452,-75.7659529
43.8616325,-79.4392975
43.5997569,-79.5633139
43.6481196,-79.4119336
43.6611122,-79.3317541
43.6582144,-79.4252581
43.6634053,-79.3767376
43.5820029,-79.6279529
43.5869714,-79.548227
43.6484857,-79.4342488
43.639714,-79.4116285
43.8323398,-79.5722626
43.6954929,-79.3985105
43.7159539,-79.4174702
43.6202004,-79.5908554
43.6389231,-79.4126726
43.6787775,-79.3302055
43.6446186,-79.4073495
43.638175,-79.4153863
43.6599839,-79.4728263
43.6486832,-79.4455781
43.6604072,-79.4481899
43.6731034,-79.325676
43.6452106,-79.4091859
43.6047893,-79.5412666
43.7096021,-79.3859908
43.6443244,-79.5285944
43.6205132,-79.5066811
43.6444134,-79.4499124
43.6603454,-79.5081064
43.6682168,-79.3359954
43.661737,-79.4582655
43.6751838,-79.3001096
43.6653683,-79.4609187
43.6395938,-79.4451385
43.7030037,-79.2997003
43.6371296,-79.400621
43.6497526,-79.4874113
43.8876625,-79.4168536
43.7042036,-79.5023091
43.8222271,-79.102102
43.6437428,-79.4441202
43.6724076,-79.2966857
43.6714521,-79.4099559
43.6094629,-79.497871
43.658501,-79.4540056
43.8185598,-79.5564319
43.6814044,-79.3455375
43.6965878,-79.3927614
43.6645736,-79.4047809
43.705635,-79.2726654
43.6797375,-79.3285892
43.6408083,-79.4011128
43.6873463,-79.5061161
43.6149617,-79.4886581
43.6704817,-79.38105
43.6751902,-79.4486154
43.6563206,-79.4664459
43.6157021,-79.6371953
43.6753288,-79.3342574
43.5825557,-79.5534228
43.715398,-79.3295772
43.6766563,-79.4139504
43.7337853,-79.4790673
43.7137098,-79.3939094
43.8303036,-79.3273609
43.5545782,-79.7030224
43.5679114,-79.5779689
43.5918214,-79.5310945
43.6601106,-79.4651039
43.719402,-79.4374457
43.5848378,-79.7057492
43.760535,-79.4065805
43.6758,-79.5456558
43.6824182,-79.3056557
43.7615408,-79.4942257
43.6383856,-79.4135437
43.6446649,-79.5887883
43.7419995,-79.2021702
43.6780963,-79.3541901
43.6494519,-79.4265754
43.7539537,-79.3330191
43.6884545,-79.3103392
43.652882,-79.424531
43.5867776,-79.5764792
43.6863537,-79.2882024
43.6863537,-79.2882024
43.6217239,-79.4879472
43.799778,-79.3115111
43.8734093,-79.2631377
43.6970276,-79.5413802
43.6434927,-79.4109774
43.8839644,-78.9518045
43.6879178,-79.3431893
43.6647257,-79.4108474
43.6409371,-79.5546146
43.6545099,-79.4289899
43.6429574,-79.5490923
43.7975066,-79.4346895
43.6383951,-79.4154658
43.6625501,-79.4878001
43.6523469,-79.4746291
43.63373,-79.5619765
43.6614092,-79.4581946
43.7100527,-79.820081
43.6971205,-79.4237324
43.6499404,-79.4524306
43.697315,-79.834476
43.6725968,-79.3449495
43.665831,-79.4612772
43.647878,-79.4350388
43.6384521,-79.4142524
43.6482176,-79.4123009
43.6848556,-79.5524508
43.650234,-79.3806128
43.7146228,-79.4387014
43.6518187,-79.4283324
43.6390294,-79.4159228
43.657454,-79.445766
